firstname,weight,male,female
betsy,55,0,1
cristy,55,0,1
daysi,55,0,1
diogo,55,1,0
gabri,55,1,0
gontzal,55,1,0
jordana,55,0,1
kiara,55,0,1
lenin,55,1,0
liliya,55,0,1
llucià,55,1,0
lukas,55,1,0
m.antonia,55,0,1
najat,55,1,0
pacomio,55,1,0
pitu,55,1,0
primitiva,55,0,1
abrahan,54,1,0
abril,54,0,1
araitz,54,0,1
arconcio,54,1,0
berardo,54,1,0
chon,54,1,0
clemencia,54,0,1
deysi,54,0,1
dorota,54,0,1
driss,54,1,0
edi,54,1,0
fabrizio,54,1,0
gontran,54,1,0
goyi,54,1,0
hilaria,54,0,1
iwona,54,0,1
j.carlos,54,1,0
jim,54,1,0
josua,54,1,0
karem,54,1,0
leonel,54,1,0
lole,54,0,1
maurizio,54,1,0
piotr,54,1,0
zuleika,54,0,1
tolomeo,54,1,0
viridiana,54,0,1
rosamari,54,0,1
yeny,54,0,1
usoa,54,0,1
serafina,53,0,1
valvanera,53,0,1
telma,53,0,1
suellen,53,0,1
roma,53,0,1
yobana,53,0,1
valerio,53,1,0
ana-maria,53,0,1
ange,53,0,1
anonimo,53,1,0
bruna,53,0,1
charli,53,1,0
cristel,53,0,1
hermes,53,1,0
imad,53,1,0
juanantonio,53,1,0
keko,53,1,0
magui,53,0,1
maitena,53,0,1
maka,53,0,1
maruja,53,0,1
mely,53,0,1
mirentxu,53,0,1
mjesus,53,0,1
mluisa,53,0,1
nira,53,0,1
abdeslam,52,1,0
aisha,52,0,1
anatolio,52,1,0
argiñe,52,0,1
bernard,52,1,0
carole,52,0,1
celes,52,0,1
douglas,52,1,0
elina,52,0,1
encina,52,0,1
ermesindis,52,1,0
flores,52,0,1
gianina,52,0,1
izan,52,1,0
josele,52,1,0
josepa,52,1,0
keyla,52,0,1
leobino,52,1,0
liseth,52,0,1
lisette,52,0,1
lobo,52,1,0
macrobio,52,1,0
marek,52,1,0
miroslav,52,1,0
ninoska,52,0,1
policarpio,52,1,0
prisca,52,0,1
rai,52,1,0
reda,52,0,1
yamilet,52,0,1
yael,52,0,1
yovanna,52,0,1
rubens,52,1,0
zulma,51,0,1
tanausú,51,1,0
zoa,51,0,1
teodolfo,51,1,0
txemi,51,1,0
yelitza,51,0,1
volodymyr,51,1,0
alana,51,0,1
cipri,51,1,0
daniella,51,0,1
doina,51,0,1
dominga,51,0,1
dorotea,51,0,1
dula,51,0,1
esme,51,0,1
estefany,51,0,1
ioseba,51,1,0
iraitz,51,0,1
jacint,51,1,0
laurentiu,51,1,0
lesly,51,0,1
luiza,51,0,1
lula,51,1,0
mafalda,51,0,1
manolito,51,1,0
maryan,51,0,1
matteo,51,1,0
mercy,51,0,1
mitxel,51,0,1
nicolasa,51,0,1
odilon,51,1,0
paterno,51,1,0
pollo,51,1,0
paulita,1,0,1
pauly,1,0,1
pepino,1,1,0
leona,1,0,1
amadora,1,0,1
paulito,1,1,0
